Year,Country,Origin,Refugees,Asylum-seekers (pending cases),Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total Population,Indicator,2016,2017
2010,Argentina,Afghanistan,,1,,,,,,1,Afghanistan,,['5']
2010,Argentina,Angola,14,2,,,,,,16,Angola,,['14']
2010,Argentina,Albania,27,,,,,,,27,Albania,,['18']
2010,Argentina,Armenia,122,5,,,,,,127,Armenia,,['78']
2010,Argentina,Burundi,6,1,,,,,,7,Burundi,,[nan]
2010,Argentina,Burkina Faso,,1,,,,,,1,Burkina Faso,,[nan]
2010,Argentina,Bangladesh,9,15,,,,,,24,Bangladesh,,['5']
2010,Argentina,Bulgaria,2,,,,,,,2,Bulgaria,,[nan]
2010,Argentina,Bosnia and Herzegovina,6,,,,,,,6,Bosnia and Herzegovina,,['6']
2010,Argentina,Belarus,1,,,,,,,1,Belarus,,[nan]
2010,Argentina,Bolivia (Plurinational State of),3,,,,,,,3,Bolivia (Plurinational State of),,[nan]
2010,Argentina,Botswana,,1,,,,,,1,Botswana,,[]
2010,Argentina,Central African Rep.,2,1,,,,,,3,Central African Rep.,,[nan]
2010,Argentina,Chile,336,1,,,,,,337,Chile,,['33']
2010,Argentina,C̫te d'Ivoire,22,9,,,,,,31,C̫te d'Ivoire,,['20']
2010,Argentina,Cameroon,7,14,,,,,,21,Cameroon,,['6']
2010,Argentina,Dem. Rep. of the Congo,6,,,,,,,6,Dem. Rep. of the Congo,,['22']
2010,Argentina,Congo,9,13,,,,,,22,Congo,,[nan]
2010,Argentina,Colombia,403,203,,,,,,606,Colombia,,['544']
2010,Argentina,Cabo Verde,,1,,,,,,1,Cabo Verde,,[nan]
2010,Argentina,Costa Rica,6,1,,,,,,7,Costa Rica,,['5']
2010,Argentina,Cuba,338,29,,,,,,367,Cuba,,['255']
2010,Argentina,Czech Rep.,,1,,,,,,1,Czech Rep.,,[nan]
2010,Argentina,Dominican Rep.,2,119,,,,,,121,Dominican Rep.,,[nan]
2010,Argentina,Algeria,45,,,,,,,45,Algeria,,['30']
2010,Argentina,Ecuador,13,3,,,,,,16,Ecuador,,['17']
2010,Argentina,Eritrea,2,,,,,,,2,Eritrea,,[nan]
2010,Argentina,Spain,,5,,,,,,5,Spain,,[nan]
2010,Argentina,Ethiopia,5,,,,,,,5,Ethiopia,,[nan]
2010,Argentina,Georgia,5,1,,,,,,6,Georgia,,[nan]
2010,Argentina,Ghana,27,12,,,,,,39,Ghana,,['38']
2010,Argentina,Guinea,6,,,,,,,6,Guinea,,['9']
2010,Argentina,Gambia,1,,,,,,,1,Gambia,,[nan]
2010,Argentina,Guinea-Bissau,18,2,,,,,,20,Guinea-Bissau,,['8']
2010,Argentina,Guatemala,1,,,,,,,1,Guatemala,,[nan]
2010,Argentina,Guyana,,1,,,,,,1,Guyana,,[nan]
2010,Argentina,Honduras,,3,,,,,,3,Honduras,,[nan]
2010,Argentina,Croatia,2,,,,,,,2,Croatia,,[nan]
2010,Argentina,Haiti,47,36,,,,,,83,Haiti,,['66']
2010,Argentina,Hungary,,9,,,,,,9,Hungary,,[nan]
2010,Argentina,India,36,34,,,,,,70,India,,['22']
2010,Argentina,Iran (Islamic Rep. of),22,,,,,,,22,Iran (Islamic Rep. of),,['23']
2010,Argentina,Iraq,27,,,,,,,27,Iraq,,['22']
2010,Argentina,Italy,1,,,,,,,1,Italy,,[nan]
2010,Argentina,Kazakhstan,22,3,,,,,,25,Kazakhstan,,['18']
2010,Argentina,Kenya,1,,,,,,,1,Kenya,,[]
2010,Argentina,Kyrgyzstan,3,,,,,,,3,Kyrgyzstan,,[nan]
2010,Argentina,Liberia,68,15,,,,,,83,Liberia,,['44']
2010,Argentina,Sri Lanka,34,1,,,,,,35,Sri Lanka,,['37']
2010,Argentina,Morocco,2,1,,,,,,3,Morocco,,[nan]
2010,Argentina,Mexico,1,1,,,,,,2,Mexico,,[nan]
2010,Argentina,Mali,14,,,,,,,14,Mali,,['9']
2010,Argentina,Myanmar,,1,,,,,,1,Myanmar,,[]
2010,Argentina,Mauritania,2,,,,,,,2,Mauritania,,[nan]
2010,Argentina,Namibia,,1,,,,,,1,Namibia,,[]
2010,Argentina,Nigeria,51,28,,,,,,79,Nigeria,,['42']
2010,Argentina,Nicaragua,2,,,,,,,2,Nicaragua,,[nan]
2010,Argentina,Pakistan,41,,,,,,,41,Pakistan,,['32']
2010,Argentina,Peru,585,2,,,,,,587,Peru,,['547']
2010,Argentina,Paraguay,3,8,,,,,,11,Paraguay,,['8']
2010,Argentina,Romania,54,,,,,,,54,Romania,,['51']
2010,Argentina,Russian Federation,60,,,,,,,60,Russian Federation,,['65']
2010,Argentina,Rwanda,1,,,,,,,1,Rwanda,,[nan]
2010,Argentina,Sudan,3,2,,,,,,5,Sudan,,[nan]
2010,Argentina,Senegal,65,,,,,,,65,Senegal,,['42']
2010,Argentina,Sierra Leone,59,1,,,,,,60,Sierra Leone,,['37']
2010,Argentina,El Salvador,6,4,,,,,,10,El Salvador,,['22']
2010,Argentina,Somalia,5,2,,,,,,7,Somalia,,['5']
2010,Argentina,Serbia and Kosovo (S/RES/1244 (1999)),18,1,,,,,,19,Serbia and Kosovo (S/RES/1244 (1999)),,[nan]
2010,Argentina,Chad,1,,,,,,,1,Chad,,[nan]
2010,Argentina,Togo,2,1,,,,,,3,Togo,,[nan]
2010,Argentina,Turkmenistan,2,,,,,,,2,Turkmenistan,,[nan]
2010,Argentina,Tunisia,2,,,,,,,2,Tunisia,,[nan]
2010,Argentina,Turkey,10,2,,,,,,12,Turkey,,['11']
2010,Argentina,United Rep. of Tanzania,,2,,,,,,2,United Rep. of Tanzania,,[nan]
2010,Argentina,Ukraine,19,1,,,,,,20,Ukraine,,['94']
2010,Argentina,Uruguay,,2,,,,,,2,Uruguay,,[nan]
2010,Argentina,United States of America,3,1,,,,,,4,United States of America,,[nan]
2010,Argentina,Venezuela (Bolivarian Republic of),1,4,,,,,,5,Venezuela (Bolivarian Republic of),,[nan]
2010,Argentina,Stateless,3,3,,,,,,6,Stateless,,['6']
2010,Argentina,Various/Unknown,549,332,,,,,,881,Various/Unknown,,['567']
2010,Argentina,South Africa,3,1,,,,,,4,South Africa,,[nan]
2010,Argentina,Zambia,,1,,,,,,1,Zambia,,[]
2010,Argentina,Zimbabwe,2,2,,,,,,4,Zimbabwe,,[nan]
2010,Armenia,Armenia,,,,,,6,82519,82525,Armenia,,[]
2010,Armenia,Azerbaijan,2347,,,,,,,2347,Azerbaijan,,['2034']
2010,Armenia,China,,2,,,,,,2,China,,[]
2010,Armenia,C̫te d'Ivoire,1,3,,,,,,4,C̫te d'Ivoire,,['6']
2010,Armenia,Cuba,1,,,,,,,1,Cuba,,[]
2010,Armenia,Ethiopia,1,,,,,,,1,Ethiopia,,[]
2010,Armenia,Georgia,11,1,,,,,,12,Georgia,,['8']
2010,Armenia,Iran (Islamic Rep. of),22,7,,,,,,29,Iran (Islamic Rep. of),,['31']
2010,Armenia,Iraq,888,,,,,,,888,Iraq,,['1061']
2010,Armenia,Israel,5,,,,,,,5,Israel,,[]
2010,Armenia,Kazakhstan,1,,,,,,,1,Kazakhstan,,[nan]
2010,Armenia,Lebanon,14,,,,,,,14,Lebanon,,['19']
2010,Armenia,Nigeria,,1,,,,,,1,Nigeria,,[nan]
2010,Armenia,Russian Federation,1,,,,,,,1,Russian Federation,,[nan]
2010,Armenia,Turkey,4,9,,,,,,13,Turkey,,[nan]
2010,Australia,Afghanistan,5518,67,,,,,,5585,Afghanistan,,['10922']
2010,Australia,Angola,3,,,,,,,3,Angola,,[nan]
2010,Australia,Albania,46,18,,,,,,64,Albania,,['59']
2010,Australia,United Arab Emirates,2,2,,,,,,4,United Arab Emirates,,['7']
2010,Australia,Argentina,1,2,,,,,,3,Argentina,,[nan]
2010,Australia,Armenia,7,1,,,,,,8,Armenia,,[nan]
2010,Australia,Azerbaijan,3,,,,,,,3,Azerbaijan,,['9']
2010,Australia,Burundi,31,1,,,,,,32,Burundi,,['50']
2010,Australia,Benin,1,,,,,,,1,Benin,,[nan]
2010,Australia,Bangladesh,252,70,,,,,,322,Bangladesh,,['434']
2010,Australia,Bulgaria,3,1,,,,,,4,Bulgaria,,[nan]
2010,Australia,Bahrain,22,9,,,,,,31,Bahrain,,['97']
2010,Australia,Bosnia and Herzegovina,6,,15,,,,,21,Bosnia and Herzegovina,,[nan]
2010,Australia,Belarus,16,,,,,,,16,Belarus,,['7']
2010,Australia,Brazil,8,5,,,,,,13,Brazil,,[nan]
2010,Australia,Brunei Darussalam,,1,,,,,,1,Brunei Darussalam,,[nan]
2010,Australia,Bhutan,2,,,,,,,2,Bhutan,,[nan]
2010,Australia,Central African Rep.,1,,,,,,,1,Central African Rep.,,[nan]
2010,Australia,Canada,1,,,,,,,1,Canada,,[nan]
2010,Australia,Switzerland,1,,,,,,,1,Switzerland,,[]
2010,Australia,Chile,1,,,,,,,1,Chile,,[nan]
2010,Australia,China,2201,534,,,,,,2735,China,,['2543']
2010,Australia,C̫te d'Ivoire,7,,,,,,,7,C̫te d'Ivoire,,['5']
2010,Australia,Cameroon,51,6,,,,,,57,Cameroon,,['42']
2010,Australia,Dem. Rep. of the Congo,27,4,,,,,,31,Dem. Rep. of the Congo,,['48']
2010,Australia,Congo,19,,,,,,,19,Congo,,['13']
2010,Australia,Cook Islands,,1,,,,,,1,Cook Islands,,[]
2010,Australia,Colombia,148,22,,,,,,170,Colombia,,['116']
2010,Australia,Cuba,6,,,,,,,6,Cuba,,[nan]
2010,Australia,Czech Rep.,1,3,,,,,,4,Czech Rep.,,[nan]
2010,Australia,Germany,1,,,,,,,1,Germany,,['5']
2010,Australia,Djibouti,1,,,,,,,1,Djibouti,,[nan]
2010,Australia,Denmark,2,,,,,,,2,Denmark,,[]
2010,Australia,Dominican Rep.,,1,,,,,,1,Dominican Rep.,,[]
2010,Australia,Algeria,20,,,,,,,20,Algeria,,['10']
2010,Australia,Ecuador,4,1,,,,,,5,Ecuador,,[nan]
2010,Australia,Egypt,350,256,,,,,,606,Egypt,,['1560']
2010,Australia,Eritrea,67,21,,,,,,88,Eritrea,,['138']
2010,Australia,Ethiopia,168,19,,,,,,187,Ethiopia,,['282']
2010,Australia,Fiji,144,197,,,,,,341,Fiji,,['406']
2010,Australia,France,4,,,,,,,4,France,,[nan]
2010,Australia,United Kingdom,2,6,,,,,,8,United Kingdom,,['5']
2010,Australia,Georgia,9,2,,,,,,11,Georgia,,['16']
2010,Australia,Ghana,28,16,,,,,,44,Ghana,,['32']
2010,Australia,Guinea,10,,,,,,,10,Guinea,,['12']
2010,Australia,Gambia,3,,,,,,,3,Gambia,,['8']
2010,Australia,Guinea-Bissau,1,,,,,,,1,Guinea-Bissau,,[]
2010,Australia,Greece,4,,,,,,,4,Greece,,['6']
2010,Australia,Guyana,1,,,,,,,1,Guyana,,[]
2010,Australia,Croatia,4,,,,,,,4,Croatia,,[nan]
2010,Australia,Indonesia,231,91,,,,,,322,Indonesia,,['205']
2010,Australia,India,139,228,,,,,,367,India,,['388']
2010,Australia,Ireland,,1,,,,,,1,Ireland,,[nan]
2010,Australia,Iran (Islamic Rep. of),1327,318,,,,,,1645,Iran (Islamic Rep. of),,['8077']
2010,Australia,Iraq,3791,196,,,,,,3987,Iraq,,['4042']
2010,Australia,Israel,31,7,,,,,,38,Israel,,['15']
2010,Australia,Italy,2,2,,,,,,4,Italy,,['5']
2010,Australia,Jamaica,,1,,,,,,1,Jamaica,,[nan]
2010,Australia,Jordan,69,23,,,,,,92,Jordan,,['149']
2010,Australia,Japan,1,4,,,,,,5,Japan,,['10']
2010,Australia,Kazakhstan,4,4,,,,,,8,Kazakhstan,,['7']
2010,Australia,Kenya,38,12,,,,,,50,Kenya,,['117']
2010,Australia,Kyrgyzstan,21,2,,,,,,23,Kyrgyzstan,,['14']
2010,Australia,Cambodia,16,4,,,,,,20,Cambodia,,['31']
2010,Australia,Rep. of Korea,24,40,,,,,,64,Rep. of Korea,,['45']
2010,Australia,Kuwait,22,4,,,,,,26,Kuwait,,['54']
2010,Australia,Lao People's Dem. Rep.,4,1,,,,,,5,Lao People's Dem. Rep.,,[nan]
2010,Australia,Lebanon,209,134,,,,,,343,Lebanon,,['548']
2010,Australia,Liberia,18,,,,,,,18,Liberia,,['37']
2010,Australia,Libya,9,12,,,,,,21,Libya,,['992']
2010,Australia,Sri Lanka,2373,253,,,,,,2626,Sri Lanka,,['4489']
2010,Australia,Lithuania,,2,,,,,,2,Lithuania,,[nan]
2010,Australia,Latvia,6,1,,,,,,7,Latvia,,[nan]
2010,Australia,Morocco,13,,,,,,,13,Morocco,,['12']
2010,Australia,The former Yugoslav Republic of Macedonia,,2,,,,,,2,The former Yugoslav Republic of Macedonia,,[nan]
2010,Australia,Mali,3,,,,,,,3,Mali,,[nan]
2010,Australia,Malta,1,,,,,,,1,Malta,,[]
2010,Australia,Myanmar,444,34,,,,,,478,Myanmar,,['516']
2010,Australia,Mongolia,43,7,,,,,,50,Mongolia,,['27']
2010,Australia,Mozambique,1,,,,,,,1,Mozambique,,[nan]
2010,Australia,Mauritania,4,,,,,,,4,Mauritania,,[nan]
2010,Australia,Mauritius,,9,,,,,,9,Mauritius,,['7']
2010,Australia,Malawi,1,,,,,,,1,Malawi,,[nan]
2010,Australia,Malaysia,43,86,,,,,,129,Malaysia,,['240']
2010,Australia,Niger,1,,,,,,,1,Niger,,[nan]
2010,Australia,Nigeria,101,18,,,,,,119,Nigeria,,['187']
2010,Australia,Netherlands,,1,,,,,,1,Netherlands,,[nan]
2010,Australia,Nepal,154,100,,,,,,254,Nepal,,['182']
2010,Australia,New Zealand,1,3,,,,,,4,New Zealand,,['26']
2010,Australia,Pakistan,747,320,,,,,,1067,Pakistan,,['4496']
2010,Australia,Peru,6,2,,,,,,8,Peru,,['9']
2010,Australia,Philippines,14,15,,,,,,29,Philippines,,['51']
2010,Australia,Papua New Guinea,87,41,,,,,,128,Papua New Guinea,,['396']
2010,Australia,Poland,1,3,,,,,,4,Poland,,[nan]
2010,Australia,Dem. People's Rep. of Korea,25,33,,,,,,58,Dem. People's Rep. of Korea,,['19']
2010,Australia,Palestinian,172,27,,,,,,199,Palestinian,,['378']
2010,Australia,Romania,18,1,,,,,,19,Romania,,['9']
2010,Australia,Russian Federation,118,6,,,,,,124,Russian Federation,,['55']
2010,Australia,Rwanda,23,2,,,,,,25,Rwanda,,['64']
2010,Australia,Saudi Arabia,22,3,,,,,,25,Saudi Arabia,,['94']
2010,Australia,Sudan,57,6,,,,,,63,Sudan,,['239']
2010,Australia,Senegal,4,1,,,,,,5,Senegal,,[nan]
2010,Australia,Singapore,5,1,,,,,,6,Singapore,,['6']
2010,Australia,Solomon Islands,32,,,,,,,32,Solomon Islands,,['21']
2010,Australia,Sierra Leone,33,5,,,,,,38,Sierra Leone,,['29']
2010,Australia,El Salvador,5,2,,,,,,7,El Salvador,,['10']
2010,Australia,Somalia,74,15,,,,,,89,Somalia,,['139']
2010,Australia,Serbia and Kosovo (S/RES/1244 (1999)),93,2,,,,,,95,Serbia and Kosovo (S/RES/1244 (1999)),,[nan]
2010,Australia,Sweden,1,1,,,,,,2,Sweden,,[nan]
2010,Australia,Syrian Arab Rep.,68,18,,,,,,86,Syrian Arab Rep.,,['477']
2010,Australia,Chad,2,1,,,,,,3,Chad,,[nan]
2010,Australia,Togo,4,,,,,,,4,Togo,,[nan]
2010,Australia,Thailand,13,17,,,,,,30,Thailand,,['15']
2010,Australia,Tibetan,7,,,,,,,7,Tibetan,,['17']
2010,Australia,Tajikistan,1,,,,,,,1,Tajikistan,,[nan]
2010,Australia,Turkmenistan,2,,,,,,,2,Turkmenistan,,[nan]
2010,Australia,Timor-Leste,8,1,,,,,,9,Timor-Leste,,['8']
2010,Australia,Tonga,3,9,,,,,,12,Tonga,,['34']
2010,Australia,Tunisia,15,,,,,,,15,Tunisia,,['5']
2010,Australia,Turkey,224,99,,,,,,323,Turkey,,['476']
2010,Australia,United Rep. of Tanzania,11,2,,,,,,13,United Rep. of Tanzania,,['14']
2010,Australia,Uganda,33,5,,,,,,38,Uganda,,['65']
2010,Australia,Ukraine,42,11,,,,,,53,Ukraine,,['18']
2010,Australia,United States of America,8,2,,,,,,10,United States of America,,['20']
2010,Australia,Uzbekistan,29,4,,,,,,33,Uzbekistan,,['29']
2010,Australia,Venezuela (Bolivarian Republic of),7,1,,,,,,8,Venezuela (Bolivarian Republic of),,['26']
2010,Australia,Viet Nam,52,53,,,,,,105,Viet Nam,,['200']
2010,Australia,Vanuatu,1,,,,,,,1,Vanuatu,,[nan]
2010,Australia,Samoa,1,,,,,,,1,Samoa,,[nan]
2010,Australia,Stateless,347,29,,,,,,376,Stateless,,['2609']
2010,Australia,Various/Unknown,226,38,,,,,,264,Various/Unknown,,['47']
2010,Australia,Yemen,6,,,,,,,6,Yemen,,['27']
2010,Australia,South Africa,25,11,,,,,,36,South Africa,,['36']
2010,Australia,Zambia,5,2,,,,,,7,Zambia,,['10']
2010,Australia,Zimbabwe,775,105,,,,,,880,Zimbabwe,,['986']
2010,Austria,Afghanistan,7359,2696,,,,,,10055,Afghanistan,,['26939']
2010,Austria,Angola,173,25,,,,,,198,Angola,,['82']
2010,Austria,Albania,180,174,,,,,,354,Albania,,['88']
2010,Austria,Armenia,855,881,,,,,,1736,Armenia,,['692']
2010,Austria,Austria,,,,,,401,,401,Austria,,[]
2010,Austria,Azerbaijan,381,196,,,,,,577,Azerbaijan,,['323']
2010,Austria,Burundi,24,4,,,,,,28,Burundi,,['16']
2010,Austria,Benin,5,15,,,,,,20,Benin,,[nan]
2010,Austria,Burkina Faso,7,8,,,,,,15,Burkina Faso,,['9']
2010,Austria,Bangladesh,64,355,,,,,,419,Bangladesh,,['276']
2010,Austria,Bulgaria,5,12,,,,,,17,Bulgaria,,[nan]
2010,Austria,Bosnia and Herzegovina,211,267,69,,,,,547,Bosnia and Herzegovina,,['117']
2010,Austria,Belarus,96,75,,,,,,171,Belarus,,['82']
2010,Austria,Bolivia (Plurinational State of),15,16,,,,,,31,Bolivia (Plurinational State of),,['11']
2010,Austria,Brazil,1,,,,,,,1,Brazil,,[nan]
2010,Austria,Bhutan,1,,,,,,,1,Bhutan,,[nan]
2010,Austria,Canada,,1,,,,,,1,Canada,,[nan]
2010,Austria,China,225,535,,,,,,760,China,,['559']
2010,Austria,C̫te d'Ivoire,28,38,,,,,,66,C̫te d'Ivoire,,['70']
2010,Austria,Cameroon,199,98,,,,,,297,Cameroon,,['233']
2010,Austria,Dem. Rep. of the Congo,427,100,,,,,,527,Dem. Rep. of the Congo,,['406']
2010,Austria,Congo,102,21,,,,,,123,Congo,,['131']
2010,Austria,Colombia,22,5,,,,,,27,Colombia,,[nan]
2010,Austria,Cuba,21,2,,,,,,23,Cuba,,['14']
2010,Austria,Czech Rep.,1,1,,,,,,2,Czech Rep.,,[nan]
2010,Austria,Germany,,1,,,,,,1,Germany,,[]
2010,Austria,Dominican Rep.,,1,,,,,,1,Dominican Rep.,,[]
2010,Austria,Algeria,33,247,,,,,,280,Algeria,,['43']
2010,Austria,Egypt,40,129,,,,,,169,Egypt,,['185']
2010,Austria,Eritrea,63,19,,,,,,82,Eritrea,,['303']
2010,Austria,Estonia,3,,,,,,,3,Estonia,,[nan]
2010,Austria,Ethiopia,127,49,,,,,,176,Ethiopia,,['188']
2010,Austria,France,1,,,,,,,1,France,,[]
2010,Austria,Gabon,,7,,,,,,7,Gabon,,[nan]
2010,Austria,Georgia,730,643,,,,,,1373,Georgia,,['555']
2010,Austria,Ghana,35,39,,,,,,74,Ghana,,['31']
2010,Austria,Guinea,47,113,,,,,,160,Guinea,,['142']
2010,Austria,Gambia,71,112,,,,,,183,Gambia,,['134']
2010,Austria,Guinea-Bissau,2,34,,,,,,36,Guinea-Bissau,,[nan]
2010,Austria,Equatorial Guinea,1,1,,,,,,2,Equatorial Guinea,,[nan]
2010,Austria,Guatemala,5,,,,,,,5,Guatemala,,['9']
2010,Austria,Croatia,8,9,,,,,,17,Croatia,,[nan]
2010,Austria,Haiti,,1,,,,,,1,Haiti,,[nan]
2010,Austria,Indonesia,1,,,,,,,1,Indonesia,,[nan]
2010,Austria,India,43,588,,,,,,631,India,,['63']
2010,Austria,Iran (Islamic Rep. of),2357,577,,,,,,2934,Iran (Islamic Rep. of),,['4565']
2010,Austria,Iraq,2320,912,,,,,,3232,Iraq,,['7414']
2010,Austria,Israel,2,14,,,,,,16,Israel,,['11']
2010,Austria,Jamaica,,1,,,,,,1,Jamaica,,[]
2010,Austria,Jordan,9,25,,,,,,34,Jordan,,['62']
2010,Austria,Kazakhstan,34,53,,,,,,87,Kazakhstan,,['100']
2010,Austria,Kenya,11,35,,,,,,46,Kenya,,['30']
2010,Austria,Kyrgyzstan,217,141,,,,,,358,Kyrgyzstan,,['244']
2010,Austria,Cambodia,1,,,,,,,1,Cambodia,,[nan]
2010,Austria,Rep. of Korea,1,1,,,,,,2,Rep. of Korea,,[nan]
2010,Austria,Kuwait,,1,,,,,,1,Kuwait,,[nan]
2010,Austria,Lao People's Dem. Rep.,1,,,,,,,1,Lao People's Dem. Rep.,,[nan]
2010,Austria,Lebanon,36,122,,,,,,158,Lebanon,,['68']
2010,Austria,Liberia,27,38,,,,,,65,Liberia,,['18']
2010,Austria,Libya,2,6,,,,,,8,Libya,,['80']
2010,Austria,Sri Lanka,31,45,,,,,,76,Sri Lanka,,['67']
2010,Austria,Lithuania,,1,,,,,,1,Lithuania,,[]
2010,Austria,Latvia,2,2,,,,,,4,Latvia,,[]
2010,Austria,Morocco,14,83,,,,,,97,Morocco,,['30']
2010,Austria,Rep. of Moldova,137,97,,,,,,234,Rep. of Moldova,,['66']
2010,Austria,Madagascar,2,,,,,,,2,Madagascar,,[nan]
2010,Austria,Maldives,,1,,,,,,1,Maldives,,[]
2010,Austria,Mexico,1,,,,,,,1,Mexico,,[nan]
2010,Austria,The former Yugoslav Republic of Macedonia,161,327,,,,,,488,The former Yugoslav Republic of Macedonia,,['75']
2010,Austria,Mali,1,31,,,,,,32,Mali,,['11']
2010,Austria,Myanmar,7,7,,,,,,14,Myanmar,,['36']
2010,Austria,Montenegro,12,11,,,,,,23,Montenegro,,['12']
2010,Austria,Mongolia,131,632,,,,,,763,Mongolia,,['177']
2010,Austria,Mauritania,6,5,,,,,,11,Mauritania,,[nan]
2010,Austria,Mauritius,,1,,,,,,1,Mauritius,,[nan]
2010,Austria,Niger,1,5,,,,,,6,Niger,,[nan]
