Country Name,Country Code,Series Name,Series Code,1960 ,1961 ,1962 ,1963 ,1964 ,1965 ,1966 ,1967 ,1968 ,1969 ,1970 ,1971 ,1972 ,1973 ,1974 ,1975 ,1976 ,1977 ,1978 ,1979 ,1980 ,1981 ,1982 ,1983 ,1984 ,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
Albania,ALB,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1420577,1435960,1426968,1405233,1383889,1357669,1353847,1368603,1363892,1354626,1350697,1338328,1338094,1319856,1301290,1282212,1266919,1250632,1234727,1226713,1225744,1271832,1325041,1249102,1275842,1333035,1331755,1330861
Algeria,DZA,"Population, total",SP.POP.TOTL,11124888,11404859,11690153,11985136,12295970,12626952,12980267,13354197,13744387,14144438,14550034,14960109,15377093,15804428,16247113,16709099,17190239,17690184,18212326,18760761,19337715,19943664,20575701,21228289,21893853,22565905,23241272,23917897,24591492,25257672,25912367,26554329,27181094,27786259,28362253,28904298,29411415,29886839,30335732,30765613,31183660,31592153,31995046,32403514,32831096,33288437,33777915,34300076,34860715,35465760,36117637,36819558,37565847,38338562,39113313,39871528,40606052,41318142
Algeria,DZA,Land area (sq. km),AG.LND.TOTL.K2,..,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381741,2381741
Algeria,DZA,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30195.79688,..,..,..,..,..,..,..,..,..,30195.79688,..,..,..,..,..,..,..,..,..,30195.79688,..,..,..,..,..,..,..
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2723648551.75208,2434776645.73628,2001468867.73344,2703014867.32834,2909351792.58659,3136258896.9233,3039834558.74906,3370843065.76735,3852115816.97758,4257218772.15369,4863487492.65763,5077222366.97472,6761786386.54713,8715105930.49101,13209713643.3219,15557934268.4965,17728347374.994,20971901273.271,26364491313.4471,33243422157.6311,42345277342.0195,44348672667.8715,45207088715.6483,48801369800.3675,53698278905.9678,57937868670.1937,63696301892.8116,66742267773.1959,59089067187.3943,55631489801.5508,62045099642.7774,45715367087.1001,48003298223.1178,49946455210.966,42542571305.5136,41764052457.8814,46941496779.8499,48177862501.9495,48187747528.899,48640574566.6476,54790245600.5846,54744714396.1666,56760288973.6703,67863829880.4832,85324998813.604,103198228458.588,117027304746.54,134977087734.008,171000691877.714,137211039898.193,161207268655.392,200019057307.655,209058991952.125,209755003250.664,213810022462.428,165874330876.321,159049096745.249,170370810917.971
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,244.824806483632,213.485905063471,171.209809463866,225.530596175825,236.610189565084,248.37814358709,234.188908344417,252.418252162025,280.268288209403,300.981825658516,334.259527686164,339.384049071749,439.731123857229,551.434441695138,813.049902670207,931.105517329,1031.30313516839,1185.51063534845,1447.6180205344,1771.965548606,2189.77667951046,2223.69734407236,2197.11050017923,2298.88380549028,2452.66463175613,2567.49590456016,2740.65472375228,2790.47391888994,2402.82562714757,2202.55809013399,2394.42038015197,1721.57869577876,1766.05467841426,1797.52356051118,1499.97150457383,1444.90803609489,1596.02986731002,1612.00930288912,1588.48144916691,1581.00456398017,1757.01779715994,1732.85797888376,1774.0336730152,2094.33550572581,2598.90802346666,3100.12237758677,3464.61007870202,3935.18334285931,4905.25486576261,3868.83123040908,4463.39467488951,5432.41331978116,5565.13452104848,5471.12338878709,5466.42577841535,4160.22006671831,3916.88157088626,4123.38993650709
Algeria,DZA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,133.08726560749,142.029446007773,157.80387623013,169.630136751065,194.504802443268,218.728779745296,231.710422005786,277.284735623555,312.673883538093,328.322141473282,361.267618628152,403.631448571303,415.012250869583,438.661938581574,463.708413201243,482.374630786129,452.673577447047,478.986797547705,519.010619822761,528.434936105991,529.405205456331,556.63690357717,545.01759304842,548.087629004649,557.079781006963,567.704750009478,572.927769310097,615.577695636288,649.783899966498,680.195974430198,705.934793364669,727.612643532377,783.032358774422,800.704307891519,886.914576373772,858.934010580582,890.814352714554,943.755743391953,863.085973626393,1012.69083578198,1118.50880991021,1231.97009240867,1272.29602403971,1356.26455370835,..,..,..
Algeria,DZA,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.3959999084473,60.2970008850098,60.3199996948242,60.5429992675781,60.798999786377,60.8720016479492,60.8129997253418,62.1969985961914,62.0219993591309,60.6889991760254,61.7270011901855,64.661003112793,64.9039993286133,60.3129997253418,65.5329971313477,65.6490020751953,66.0039978027344,66.3089981079102,66.2809982299805,66.6750030517578,67.0530014038086,68.8410034179688,68.9440002441406,69.1019973754883,69.0289993286133,69.0950012207031,69.0630035400391
Algeria,DZA,GNI (current US$),NY.GNP.MKTP.CD,3221576584.97063,2972164249.54426,2203142738.50516,2764320457.76788,2909811018.83735,3055239675.11292,2918305624.75947,3289823843.95698,3791351137.30733,4257218772.15369,4741958558.66804,5036510422.1797,6739483919.88938,8639332718.73106,13137957233.0654,15380691573.4036,17416131394.3993,20610177486.2545,25784547290.6528,32153447330.8593,41147477394.1368,43096072338.848,43894588715.6483,47576469888.0722,52220897640.1654,56367306277.0993,62266301892.8116,65212267773.1959,57078999222.2899,53741489814.6931,59955099642.7774,43495367238.6727,45843298246.0158,48196455219.5331,40807744205.4822,39574052577.471,44381496854.7371,45957862443.0312,46187747552.7333,46350574514.0746,52080245574.0101,53149297702.5189,54568215481.5391,65409180355.3201,81810770387.2785,98110227890.8733,112351007879.24,132999939533.051,169770075986.176,135898384290.422,160819911155.325,197899407578.227,205175259234.42,205256929710.061,209164338102.98,161421328931.766,157479093702.572,167870202661.909
Algeria,DZA,"International migrant stock, total",SM.POP.TOTL,430447,..,..,..,..,208299,..,..,..,..,168949,..,..,..,..,160287,..,..,..,..,184995,..,..,..,..,288665,..,..,..,..,273954,..,..,..,..,262032,..,..,..,..,250110,..,..,..,..,247537,..,..,..,..,244964,..,..,..,..,242391,..,..
